course_name,level,department,description,keywords,duration,fees_domestic,fees_international,min_gpa,min_ielts,trending_score,career_prospects,modules
Counseling Psychology MSc,masters,School of Psychology,Training in counseling techniques,"counseling,mental health,therapy",1 year,10500,16500,3.0,6.5,7.5,"Counselor, Therapist","Counseling Techniques (Core): Teaches methods like person-centered and cognitive-behavioral therapy.
Mental Health Interventions (Core): Focuses on strategies for managing mental health issues.
Ethics in Counseling (Core): Explores ethical considerations in therapy practice.
Group Counseling (Core): Covers facilitating group therapy sessions.
Dissertation (Core): A research project on counseling practices."
Industrial Psychology BSc,undergraduate,School of Psychology,Psychology in workplace settings,"industrial psychology,organizational behavior",3 years,9250,13500,2.7,6.0,7.1,"Industrial Psychologist, HR Specialist","Organizational Behavior (Core): Covers psychological principles in workplace settings.
Workplace Motivation (Core): Explores factors influencing employee performance.
Human Resource Psychology (Core): Focuses on recruitment and employee relations.
Research Methods in Psychology (Core): Teaches data analysis for workplace studies.
Final Year Project (Core): A research project on industrial psychology."
Sport Psychology MSc,masters,School of Psychology,Psychological aspects of athletic performance,"sport psychology,athletics,motivation",1 year,10500,16500,3.0,6.5,7.4,"Sport Psychologist, Performance Coach","Performance Psychology (Core): Covers psychological factors in athletic performance.
Motivation in Sports (Core): Explores techniques for enhancing athlete motivation.
Team Dynamics in Sports (Core): Focuses on group psychology in sports teams.
Research Methods in Sport Psychology (Core): Teaches experimental design for sports research.
Dissertation (Core): A research project on sport psychology."
Psychology PhD,PhD,School of Psychology,Research in psychological theories and applications,"psychology,research,behavior",3 years,12000,18000,3.2,6.5,7.6,"Academic, Research Psychologist","Advanced Research Methods (Core): Covers methodologies for psychological research.
Behavioral Analysis (Core): Focuses on studying human behavior in research contexts.
Seminar in Psychological Theories (Core): Explores current theories in psychology.
Ethics in Psychological Research (Core): Examines ethical issues in research.
Thesis (Core): An original research contribution to psychology."
Mechanical Engineering BEng,undergraduate,School of Engineering,Comprehensive program in mechanics and design,"mechanical engineering,mechanics,design",4 years,9250,14000,3.0,6.0,7.6,"Mechanical Engineer, Design Engineer","Mechanics and Materials (Core): Covers principles of mechanics and material properties.
Engineering Design (Core): Teaches CAD and design methodologies for mechanical systems.
Thermodynamics (Core): Focuses on energy transfer and heat in engineering.
Manufacturing Processes (Core): Introduces techniques for producing mechanical components.
Final Year Project (Core): A design or research project in mechanical engineering."
Renewable Energy Engineering MEng,masters,School of Engineering,Focuses on sustainable energy technologies,"renewable energy,sustainability,solar",2 years,11000,17000,3.2,6.5,8.7,"Energy Engineer, Sustainability Consultant","Solar Energy Systems (Core): Covers design and implementation of solar technologies.
Wind Energy Engineering (Core): Focuses on wind turbine design and energy production.
Sustainable Energy Solutions (Core): Explores renewable energy systems and their applications.
Energy Policy and Economics (Core): Teaches policy and financial aspects of renewable energy.
Dissertation (Core): A research project on renewable energy innovations."
Civil Engineering BEng,undergraduate,School of Engineering,Study of infrastructure design and construction,"civil engineering,infrastructure,construction",4 years,9250,14000,3.0,6.0,7.5,"Civil Engineer, Structural Engineer","Structural Analysis (Core): Covers principles of designing stable structures.
Construction Materials (Core): Focuses on materials used in civil engineering projects.
Geotechnical Engineering (Core): Teaches soil mechanics and foundation design.
Infrastructure Design (Core): Introduces planning and designing urban infrastructure.
Final Year Project (Core): A design or research project in civil engineering."
Electrical Engineering MSc,masters,School of Engineering,Advanced study of electrical systems,"electrical engineering,power systems,electronics",1 year,10500,16500,3.2,6.5,7.8,"Electrical Engineer, Power Systems Engineer","Power Systems Design (Core): Covers electrical power generation and distribution.
Electronics and Circuits (Core): Focuses on designing electronic circuits and systems.
Control Systems (Core): Teaches automation and control in electrical engineering.
Renewable Energy Integration (Core): Explores integrating renewables into power systems.
Dissertation (Core): A research project on electrical engineering innovations."
Aerospace Engineering BEng,undergraduate,School of Engineering,Aircraft and spacecraft design and technology,"aerospace engineering,aircraft,spacecraft",4 years,9250,14000,3.0,6.0,7.7,"Aerospace Engineer, Aircraft Designer","Aerodynamics (Core): Covers principles of airflow and aircraft performance.
Aircraft Design (Core): Teaches designing aircraft structures and systems.
Propulsion Systems (Core): Focuses on jet engines and propulsion technologies.
Spacecraft Engineering (Core): Introduces design for space vehicles and systems.
Final Year Project (Core): A design or research project in aerospace engineering."
Chemical Engineering MSc,masters,School of Engineering,Study of chemical processes in industry,"chemical engineering,process engineering",1 year,10500,16500,3.2,6.5,7.9,"Chemical Engineer, Process Engineer","Process Design and Optimization (Core): Covers designing efficient chemical processes.
Chemical Reaction Engineering (Core): Focuses on reactor design and kinetics.
Thermodynamics for Chemical Engineering (Core): Teaches energy principles in chemical systems.
Plant Safety and Sustainability (Core): Explores safety and environmental considerations.
Dissertation (Core): A research project on chemical engineering challenges."
Biomedical Engineering BSc,undergraduate,School of Engineering,Engineering for healthcare innovations,"biomedical engineering,medical devices",3 years,9250,13500,3.0,6.0,7.6,"Biomedical Engineer, Medical Device Designer","Biomechanics (Core): Covers mechanical principles in biological systems.
Medical Device Design (Core): Teaches designing devices for healthcare applications.
Biomaterials (Core): Focuses on materials used in medical implants and devices.
Signal Processing in Biomedicine (Core): Introduces techniques for analyzing biological signals.
Final Year Project (Core): A design or research project in biomedical engineering."
Environmental Engineering MSc,masters,School of Engineering,Sustainable engineering solutions,"environmental engineering,sustainability",1 year,10500,16500,3.2,6.5,8.0,"Environmental Engineer, Water Management Specialist","Water Resource Management (Core): Covers sustainable water treatment and supply.
Environmental Impact Assessment (Core): Teaches evaluating environmental effects of projects.
Sustainable Engineering Design (Core): Focuses on eco-friendly engineering solutions.
Air Quality Management (Core): Explores techniques for monitoring and improving air quality.
Dissertation (Core): A research project on environmental engineering challenges."
Robotics Engineering MSc,masters,School of Engineering,Robotic systems design and automation,"robotics,automation,engineering",1 year,10500,16500,3.2,6.5,8.1,"Robotics Engineer, Automation Specialist","Robotic System Design (Core): Covers designing robots and automation systems.
Control Systems Engineering (Core): Teaches control algorithms for robotic applications.
AI in Robotics (Core): Focuses on integrating AI for autonomous robots.
Mechatronics (Core): Introduces integration of mechanical and electronic systems.
Dissertation (Core): A research project on robotics engineering innovations."
Automotive Engineering BEng,undergraduate,School of Engineering,Vehicle design and performance,"automotive engineering,vehicles,design",4 years,9250,14000,3.0,6.0,7.5,"Automotive Engineer, Vehicle Designer","Vehicle Dynamics (Core): Covers performance and handling of vehicles.
Automotive Design (Core): Teaches CAD and design for vehicle systems.
Powertrain Systems (Core): Focuses on engines and transmission technologies.
Automotive Materials (Core): Explores materials used in vehicle manufacturing.
Final Year Project (Core): A design or research project in automotive engineering."
Engineering Management MSc,masters,School of Engineering,Combines engineering and management principles,"engineering management,project management",1 year,10500,16500,3.0,6.5,7.7,"Engineering Manager, Project Manager","Project Management (Core): Covers planning and managing engineering projects.
Engineering Economics (Core): Teaches financial analysis for engineering decisions.
Leadership in Engineering (Core): Focuses on leading technical teams.
Operations Management (Core): Explores efficient production and service operations.
Dissertation (Core): A research project on engineering management challenges."
Mechanical Engineering Apprenticeship,apprenticeship,School of Engineering,Work-based training in mechanical engineering,"mechanical engineering,apprenticeship,design",2 years,8000,12000,2.5,5.5,7.4,"Junior Mechanical Engineer, Technician","Introduction to Mechanics (Core): Covers basic principles of mechanical systems.
Work-Based Engineering Project (Core): A practical project in a workplace setting.
Engineering Design Basics (Core): Teaches CAD and design for mechanical components.
Manufacturing Techniques (Core): Introduces production processes in industry.
Professional Skills (Core): Emphasizes workplace communication and ethics."
Environmental Science BSc,undergraduate,School of Life Sciences,Study of environmental systems and sustainability,"environmental science,climate change,sustainability",3 years,9250,13500,2.8,6.0,7.4,"Environmental Scientist, Conservationist","Environmental Systems (Core): Covers ecosystems, climate, and sustainability principles.
Climate Change Science (Core): Focuses on causes and impacts of climate change.
Environmental Monitoring (Core): Teaches techniques for assessing environmental health.
Conservation Strategies (Core): Explores methods for protecting natural resources.
Final Year Project (Core): A research project on environmental science."
Ecology BSc,undergraduate,School of Life Sciences,Focuses on ecosystems and biodiversity,"ecology,biodiversity,environmental science",3 years,9250,13500,2.8,6.0,7.3,"Ecologist, Conservation Scientist","Ecosystem Dynamics (Core): Covers interactions within ecological systems.
Biodiversity Conservation (Core): Focuses on preserving species and habitats.
Field Ecology (Core): Teaches methods for studying ecosystems in the field.
Environmental Data Analysis (Core): Introduces statistical tools for ecological research.
Final Year Project (Core): A research project on ecology or conservation."
Conservation Biology MSc,masters,School of Life Sciences,Species preservation and habitat restoration,"conservation biology,biodiversity,ecology",1 year,10500,16500,3.0,6.5,7.7,"Conservation Biologist, Wildlife Manager","Conservation Strategies (Core): Covers methods for species and habitat preservation.
Biodiversity Assessment (Core): Teaches techniques for monitoring biodiversity.
Restoration Ecology (Core): Focuses on restoring degraded ecosystems.
Environmental Policy (Core): Explores policies for conservation and sustainability.
Dissertation (Core): A research project on conservation biology."
Wildlife Biology BSc,undergraduate,School of Life Sciences,Wildlife behavior and conservation,"wildlife biology,ecology,conservation",3 years,9250,13500,2.8,6.0,7.2,"Wildlife Biologist, Zoologist","Wildlife Behavior (Core): Covers behavioral ecology of animals in the wild.
Conservation Biology (Core): Focuses on protecting wildlife and their habitats.
Field Research Techniques (Core): Teaches methods for studying wildlife in natural settings.
Ecosystem Management (Core): Explores managing ecosystems for wildlife preservation.
Final Year Project (Core): A research project on wildlife biology."
Environmental Science PhD,PhD,School of Life Sciences,Research in environmental challenges and solutions,"environmental science,research,sustainability",3 years,12000,18000,3.2,6.5,7.6,"Environmental Researcher, Academic","Advanced Environmental Research (Core): Covers methodologies for environmental studies.
Climate Change Solutions (Core): Focuses on research into climate mitigation strategies.
Sustainability Science (Core): Explores sustainable practices in environmental management.
Research Ethics (Core): Examines ethical issues in environmental research.
Thesis (Core): An original research contribution to environmental science."
Nursing BSc,undergraduate,School of Health Sciences,Professional nursing with clinical practice,"nursing,healthcare,patient care",3 years,9250,14000,2.7,6.5,7.3,"Registered Nurse, Clinical Nurse Specialist","Fundamentals of Nursing (Core): Covers core nursing skills and patient care.
Clinical Practice (Core): Provides hands-on experience in healthcare settings.
Pharmacology for Nurses (Core): Teaches drug administration and patient safety.
Health Assessment (Core): Focuses on assessing patient health and conditions.
Final Year Project (Core): A project on nursing practice or patient care."
Public Health MSc,masters,School of Health Sciences,Addresses public health challenges and epidemiology,"public health,epidemiology,global health",1 year,10000,15000,3.0,6.5,7.9,"Public Health Advisor, Epidemiologist","Epidemiology (Core): Covers disease patterns and public health research.
Global Health Issues (Core): Focuses on health challenges in international contexts.
Public Health Policy (Core): Teaches policy development for health promotion.
Biostatistics (Core): Introduces statistical methods for public health data.
Dissertation (Core): A research project on a public health topic."
Sport and Exercise Science BSc,undergraduate,School of Health Sciences,Optimizing training and performance,"sport science,exercise,physiology",3 years,9250,13500,3.0,6.5,7.1,"Sport Scientist, Fitness Coach","Exercise Physiology (Core): Covers physiological responses to physical activity.
Biomechanics of Sport (Core): Focuses on mechanical principles in sports performance.
Sports Nutrition (Core): Teaches dietary strategies for athletic performance.
Research Methods in Sport Science (Core): Introduces data analysis for sports research.
Final Year Project (Core): A research project on sport or exercise science."
Physiotherapy BSc,undergraduate,School of Health Sciences,Physical therapy for injury recovery,"physiotherapy,physical therapy,rehabilitation",3 years,9250,14000,3.0,6.5,7.5,"Physiotherapist, Sports Therapist","Musculoskeletal Physiotherapy (Core): Covers techniques for treating muscle and joint injuries.
Neurological Rehabilitation (Core): Focuses on therapy for neurological conditions.
Clinical Practice (Core): Provides hands-on experience in physiotherapy settings.
Exercise Therapy (Core): Teaches exercise-based rehabilitation techniques.
Final Year Project (Core): A project on physiotherapy practice or research."
Occupational Therapy MSc,masters,School of Health Sciences,Helping individuals achieve independence,"occupational therapy,healthcare,rehabilitation",1 year,10500,16500,3.0,6.5,7.6,"Occupational Therapist, Rehabilitation Specialist","Occupational Therapy Practice (Core): Covers techniques for promoting independence.
Rehabilitation Strategies (Core): Focuses on therapy for physical and mental conditions.
Assistive Technologies (Core): Teaches tools for supporting client independence.
Ethics in Occupational Therapy (Core): Explores ethical issues in therapy practice.
Dissertation (Core): A research project on occupational therapy."
Nutrition and Dietetics BSc,undergraduate,School of Health Sciences,Nutrition and health impact,"nutrition,dietetics,health",3 years,9250,13500,2.8,6.0,7.4,"Dietitian, Nutritionist","Human Nutrition (Core): Covers nutritional science and dietary requirements.
Dietary Assessment (Core): Teaches methods for evaluating dietary intake.
Clinical Nutrition (Core): Focuses on nutrition for managing health conditions.
Public Health Nutrition (Core): Explores nutrition policies for population health.
Final Year Project (Core): A project on nutrition or dietetics research."
Health Informatics MSc,masters,School of Health Sciences,Healthcare and IT for data management,"health informatics,healthcare IT,data management",1 year,10500,16500,3.0,6.5,7.8,"Health Informatics Specialist, Healthcare IT Consultant","Healthcare Data Management (Core): Covers managing and analyzing health data.
Health IT Systems (Core): Focuses on IT solutions for healthcare delivery.
Data Analytics for Healthcare (Core): Teaches data-driven decision-making in health.
Information Security in Healthcare (Core): Explores protecting sensitive health data.
Dissertation (Core): A research project on health informatics."
Mental Health Nursing MSc,masters,School of Health Sciences,Mental health care and nursing practices,"mental health,nursing,psychiatric care",1 year,10500,16500,3.0,6.5,7.7,"Mental Health Nurse, Psychiatric Nurse","Psychiatric Nursing (Core): Covers nursing care for mental health conditions.
Therapeutic Interventions (Core): Teaches therapy techniques for mental health.
Mental Health Assessment (Core): Focuses on evaluating mental health conditions.
Ethics in Mental Health Care (Core): Explores ethical issues in psychiatric nursing.
Dissertation (Core): A research project on mental health nursing."
Medical Imaging BSc,undergraduate,School of Health Sciences,Imaging technologies for diagnosis,"medical imaging,radiography,diagnostics",3 years,9250,13500,3.0,6.0,7.3,"Radiographer, Diagnostic Technician","Radiographic Techniques (Core): Covers imaging methods like X-ray and MRI.
Diagnostic Imaging (Core): Teaches interpretation of medical images for diagnosis.
Radiation Safety (Core): Focuses on safe use of imaging technologies.
Clinical Practice (Core): Provides hands-on experience in imaging settings.
Final Year Project (Core): A project on medical imaging techniques or applications."
Health Policy MSc,masters,School of Health Sciences,Healthcare policy development,"health policy,public health,policy analysis",1 year,10500,16500,3.0,6.5,7.9,"Health Policy Analyst, Healthcare Administrator","Healthcare Policy Analysis (Core): Covers developing and evaluating health policies.
Public Health Strategies (Core): Focuses on policies for population health.
Health Economics (Core): Teaches financial aspects of healthcare systems.
Global Health Policy (Core): Explores international health policy frameworks.
Dissertation (Core): A research project on health policy challenges."
Nursing Apprenticeship,apprenticeship,School of Health Sciences,Work-based training in nursing,"nursing,apprenticeship,healthcare",2 years,8000,12000,2.5,5.5,7.2,"Registered Nurse, Healthcare Assistant","Fundamentals of Nursing Practice (Core): Teaches basic nursing skills and patient care.
Work-Based Clinical Practice (Core): Provides hands-on experience in healthcare settings.
Pharmacology Basics (Core): Covers drug administration and safety.
Health Assessment Skills (Core): Teaches patient evaluation techniques.
Professional Skills (Core): Emphasizes workplace communication and ethics."
Public Health PhD,PhD,School of Health Sciences,Research in public health strategies,"public health,research,epidemiology",3 years,12000,18000,3.2,6.5,7.8,"Public Health Researcher, Academic","Advanced Public Health Research (Core): Covers methodologies for public health studies.
Epidemiological Methods (Core): Focuses on studying disease patterns and causes.
Health Policy Analysis (Core): Teaches evaluating and developing health policies.
Ethics in Public Health (Core): Explores ethical issues in public health research.
Thesis (Core): An original research contribution to public health."
Architecture BArch,undergraduate,School of Architecture,Creative design for buildings and urban spaces,"architecture,design,urban planning",5 years,9250,14500,3.0,6.5,7.7,"Architect, Urban Planner","Architectural Design Studio (Core): Teaches creative design for buildings and spaces.
Building Technology (Core): Covers construction methods and materials.
Urban Planning Principles (Core): Introduces planning for sustainable urban environments.
History of Architecture (Core): Explores architectural styles and their evolution.
Final Year Project (Core): A design project creating an architectural solution."
Construction Project Management MSc,masters,School of Architecture,Covers project management in construction,"construction,project management,engineering",1 year,10500,16500,3.0,6.5,8.4,"Project Manager, Construction Consultant","Construction Project Planning (Core): Teaches scheduling and resource management.
Cost Management (Core): Focuses on budgeting and financial control in construction.
Risk Management in Construction (Core): Covers identifying and mitigating project risks.
Sustainable Construction (Core): Explores eco-friendly building practices.
Dissertation (Core): A research project on construction management."
Interior Design BA,undergraduate,School of Architecture,Designing functional and aesthetic interiors,"interior design,design,space planning",3 years,9250,13500,2.7,6.0,7.2,"Interior Designer, Space Planner","Interior Design Studio (Core): Teaches creative design for interior spaces.
Space Planning (Core): Focuses on optimizing layouts for functionality and aesthetics.
Materials and Finishes (Core): Covers selecting materials for interior design projects.
Digital Design Tools (Core): Introduces software like AutoCAD for design visualization.
Final Year Project (Core): A project designing a complete interior space."
Urban Planning MSc,masters,School of Architecture,Sustainable city planning,"urban planning,city planning,sustainability",1 year,10500,16500,3.0,6.5,7.8,"Urban Planner, City Planner","Urban Design Principles (Core): Covers designing sustainable urban environments.
Planning Policy and Regulation (Core): Teaches legal frameworks for city planning.
Sustainable Urban Development (Core): Focuses on eco-friendly urban strategies.
GIS for Urban Planning (Core): Introduces geographic information systems for planning.
Dissertation (Core): A research project on urban planning challenges."
Landscape Architecture BSc,undergraduate,School of Architecture,Design for outdoor spaces,"landscape architecture,design,environmental science",3 years,9250,13500,2.8,6.0,7.3,"Landscape Architect, Environmental Designer","Landscape Design Studio (Core): Teaches creative design for outdoor spaces.
Environmental Design (Core): Focuses on sustainable landscape solutions.
Plant Science for Landscapes (Core): Covers plant selection and ecology for design.
Site Planning (Core): Introduces planning for landscape projects.
Final Year Project (Core): A project designing a landscape solution."
Sustainable Architecture MSc,masters,School of Architecture,Eco-friendly design practices,"sustainable architecture,green design",1 year,10500,16500,3.0,6.5,7.9,"Sustainable Architect, Green Building Consultant","Sustainable Design Principles (Core): Covers eco-friendly architectural practices.
Green Building Technologies (Core): Focuses on energy-efficient building systems.
Environmental Impact Assessment (Core): Teaches evaluating building sustainability.
Urban Sustainability (Core): Explores sustainable design in urban contexts.
Dissertation (Core): A research project on sustainable architecture."
Architecture PhD,PhD,School of Architecture,Research in architectural design and theory,"architecture,research,design",3 years,12000,18000,3.2,6.5,7.7,"Academic, Architectural Researcher","Advanced Architectural Research (Core): Covers methodologies for design research.
Architectural Theory (Core): Explores theoretical frameworks in architecture.
Sustainable Design Research (Core): Focuses on eco-friendly architectural innovations.
Seminar in Architecture (Core): Engages students in critiquing current research.
Thesis (Core): An original research contribution to architecture."
Graphic Design BA,undergraduate,School of Arts,Visual design with digital tools,"graphic design,visual design,photoshop",3 years,9250,13500,2.5,6.0,6.8,"Graphic Designer, Creative Director","Graphic Design Fundamentals (Core): Covers principles of visual design and composition.
Digital Design Tools (Core): Teaches software like Photoshop and Illustrator.
Typography (Core): Focuses on designing with text and fonts.
Branding and Identity (Core): Introduces creating cohesive brand visuals.
Final Year Project (Core): A project developing a graphic design portfolio."
Creative Writing MA,masters,School of Arts,Developing a unique writing voice,"creative writing,fiction,poetry",1 year,9000,14000,3.0,6.5,6.9,"Writer, Editor, Publisher","Fiction Writing (Core): Teaches techniques for crafting compelling narratives.
Poetry and Prose (Core): Focuses on poetic forms and creative prose.
Writing Workshops (Core): Provides feedback and critique for creative works.
Publishing and Editing (Core): Explores the publishing industry and editing skills.
Dissertation (Core): A creative writing project, such as a novel or poetry collection."
Fine Art BA,undergraduate,School of Arts,Artistic expression through various media,"fine art,painting,sculpture",3 years,9250,13500,2.5,6.0,6.7,"Artist, Art Curator","Painting and Drawing (Core): Covers techniques in traditional and modern art media.
Sculpture and Installation (Core): Teaches 3D art creation and spatial design.
Art History and Theory (Core): Explores the evolution of artistic movements.
Studio Practice (Core): Provides hands-on experience in art creation.
Final Year Project (Core): A project creating a cohesive art exhibition."
Film Studies MA,masters,School of Arts,Film theory and production,"film studies,cinema,film production",1 year,9000,14000,3.0,6.5,7.0,"Film Critic, Filmmaker","Film Theory and Criticism (Core): Covers analyzing films and cinematic movements.
Film Production Techniques (Core): Teaches directing, editing, and cinematography.
Screenwriting (Core): Focuses on crafting scripts for film and television.
Global Cinema (Core): Explores international film traditions and styles.
Dissertation (Core): A research project or film production project."
Photography BA,undergraduate,School of Arts,Photographic techniques and storytelling,"photography,visual storytelling",3 years,9250,13500,2.5,6.0,6.9,"Photographer, Photojournalist","Photographic Techniques (Core): Covers camera operation and image composition.
Visual Storytelling (Core): Teaches narrative creation through photography.
Digital Photography (Core): Focuses on editing and post-production techniques.
History of Photography (Core): Explores the evolution of photographic art.
Final Year Project (Core): A project creating a photography portfolio."
Animation MSc,masters,School of Arts,Animation techniques and digital storytelling,"animation,3D animation,visual effects",1 year,9000,14000,3.0,6.5,7.1,"Animator, Visual Effects Artist","3D Animation Techniques (Core): Covers tools like Maya for creating animations.
Visual Effects (Core): Teaches techniques for creating cinematic effects.
Storyboarding (Core): Focuses on planning animated sequences.
Digital Storytelling (Core): Explores narrative development in animation.
Dissertation (Core): A project creating an animated short or visual effects sequence."
Digital Media BA,undergraduate,School of Arts,Study of digital content creation,"digital media,content creation,media",3 years,9250,13500,2.5,6.0,6.8,"Digital Content Creator, Media Producer","Digital Content Creation (Core): Covers producing multimedia content for online platforms.
Social Media Production (Core): Teaches creating engaging social media content.
Digital Design Tools (Core): Introduces software for multimedia production.
Media Theory (Core): Explores the impact of digital media on society.
Final Year Project (Core): A project creating a digital media campaign."
Creative Arts PhD,PhD,School of Arts,Research in creative arts practices,"creative arts,research,art",3 years,12000,18000,3.2,6.5,6.9,"Academic, Art Researcher","Creative Arts Research Methods (Core): Covers methodologies for arts research.
Contemporary Art Practices (Core): Explores current trends in creative arts.
Critical Theory in Arts (Core): Focuses on theoretical frameworks for art analysis.
Seminar in Creative Arts (Core): Engages students in critiquing current research.
Thesis (Core): An original research contribution to creative arts."
Fashion Design BA,undergraduate,School of Arts,Design and creation of fashion products,"fashion design,clothing,design",3 years,9250,13500,2.5,6.0,7.0,"Fashion Designer, Stylist","Fashion Design Studio (Core): Teaches designing and creating clothing concepts.
Textile Technology (Core): Covers materials and techniques in fashion production.
Fashion Illustration (Core): Focuses on visualizing fashion designs.
History of Fashion (Core): Explores the evolution of fashion trends.
Final Year Project (Core): A project creating a fashion collection."
Theatre Studies MA,masters,School of Arts,Study of theatre production and performance,"theatre,performance,drama",1 year,9000,14000,3.0,6.5,7.0,"Theatre Director, Performer","Theatre Production (Core): Covers directing and producing theatrical performances.
Performance Techniques (Core): Teaches acting and stage performance skills.
Dramaturgy (Core): Focuses on analyzing and developing theatrical scripts.
Theatre History (Core): Explores the evolution of theatre and performance.
Dissertation (Core): A research project or theatrical production."
Education Studies BA,undergraduate,School of Education,Explores teaching and learning theories,"education,teaching,pedagogy",3 years,9250,13500,2.7,6.0,7.2,"Teacher, Education Consultant","Learning Theories (Core): Covers foundational theories of education and pedagogy.
Curriculum Design (Core): Teaches planning and developing educational programs.
Educational Psychology (Core): Explores psychological aspects of learning.
Inclusive Education (Core): Focuses on teaching diverse learners.
Final Year Project (Core): A project on educational theory or practice."
Educational Leadership MA,masters,School of Education,Leadership in educational settings,"educational leadership,management,education",1 year,10000,15000,3.0,6.5,7.5,"School Principal, Education Administrator","Leadership in Education (Core): Covers strategies for leading educational institutions.
Educational Policy (Core): Teaches developing and analyzing education policies.
School Management (Core): Focuses on managing educational organizations.
Change Management in Education (Core): Explores implementing change in schools.
Dissertation (Core): A research project on educational leadership."
Special Education MSc,masters,School of Education,Focuses on inclusive education practices,"special education,inclusion,teaching",1 year,10000,15000,3.0,6.5,7.4,"Special Education Teacher, Inclusion Specialist","Inclusive Education Strategies (Core): Covers teaching methods for diverse learners.
Special Needs Assessment (Core): Teaches evaluating students with special needs.
Behavioral Interventions (Core): Focuses on managing challenging behaviors.
Educational Technology for Inclusion (Core): Explores tech tools for special education.
Dissertation (Core): A research project on special education practices."
Education PhD,PhD,School of Education,Research in educational theories and practices,"education,research,pedagogy",3 years,12000,18000,3.2,6.5,7.3,"Academic, Education Researcher","Advanced Educational Research (Core): Covers methodologies for education studies.
Pedagogical Theories (Core): Explores current theories in teaching and learning.
Educational Policy Analysis (Core): Focuses on evaluating education policies.
Ethics in Educational Research (Core): Examines ethical issues in education research.
Thesis (Core): An original research contribution to education."
Teaching Apprenticeship,apprenticeship,School of Education,Work-based training for teaching,"teaching,apprenticeship,education",2 years,8000,12000,2.5,5.5,7.1,"Teacher, Teaching Assistant","Teaching Fundamentals (Core): Covers basic teaching skills and classroom management.
Work-Based Teaching Practice (Core): Provides hands-on experience in educational settings.
Curriculum Planning (Core): Teaches designing lesson plans and curricula.
Inclusive Teaching (Core): Focuses on addressing diverse learner needs.
Professional Skills (Core): Emphasizes communication and ethics in education."
Criminology BA,undergraduate,School of Social Sciences,Study of crime and criminal justice,"criminology,criminal justice,sociology",3 years,9250,13500,2.7,6.0,7.2,"Criminologist, Policy Analyst","Introduction to Criminology (Core): Covers theories of crime and criminal behavior.
Criminal Justice Systems (Core): Explores the structure of justice systems.
Sociology of Crime (Core): Focuses on social factors influencing crime.
Research Methods in Criminology (Core): Teaches data collection and analysis.
Final Year Project (Core): A research project on a criminology topic."
Sociology BA,undergraduate,School of Social Sciences,Study of social behavior and structures,"sociology,social behavior,society",3 years,9250,13500,2.7,6.0,7.1,"Sociologist, Community Worker","Social Theory (Core): Covers foundational sociological theories and concepts.
Social Research Methods (Core): Teaches methods for studying social behavior.
Social Inequality (Core): Focuses on class, race, and gender disparities.
Global Sociology (Core): Explores social structures in international contexts.
Final Year Project (Core): A research project on a sociological topic."
Social Work MSW,masters,School of Social Sciences,Training for professional social work,"social work,community,welfare",2 years,10000,15000,3.0,6.5,7.5,"Social Worker, Community Service Manager","Social Work Practice (Core): Covers professional skills for social work interventions.
Community Engagement (Core): Teaches working with communities to address needs.
Welfare Policy (Core): Focuses on policies supporting social welfare.
Ethics in Social Work (Core): Explores ethical challenges in social work practice.
Dissertation (Core): A research project on social work practices."
Criminology MSc,masters,School of Social Sciences,Advanced study of crime and justice systems,"criminology,criminal justice,research",1 year,10500,16500,3.0,6.5,7.6,"Criminologist, Policy Advisor","Advanced Criminological Theory (Core): Explores modern theories of crime.
Criminal Justice Policy (Core): Focuses on policy development in justice systems.
Crime Analysis (Core): Teaches data-driven approaches to studying crime.
Research Methods in Criminology (Core): Covers advanced research techniques.
Dissertation (Core): A research project on a criminology topic."
Social Sciences PhD,PhD,School of Social Sciences,Research in social science disciplines,"social sciences,research,sociology",3 years,12000,18000,3.2,6.5,7.4,"Academic, Social Researcher","Advanced Social Research Methods (Core): Covers methodologies for social science research.
Sociological Theory (Core): Explores current theories in social sciences.
Data Analysis in Social Sciences (Core): Teaches statistical and qualitative analysis.
Ethics in Social Research (Core): Examines ethical issues in social science studies.
Thesis (Core): An original research contribution to social sciences."
